seed,n,p,k,a,rho,niter,family,file1,file2,file3,file4
1,1000,200,50,10,0,1,binomial,elastic_configbin_corr00.txt,elastic_fdpbin_corr00.txt,elastic_selbin_corr00.txt,elastic_truebin_corr00.txt
2,1000,200,50,10,0,1,binomial,elastic_configbin_corr00.txt,elastic_fdpbin_corr00.txt,elastic_selbin_corr00.txt,elastic_truebin_corr00.txt
3,1000,200,50,10,0,1,binomial,elastic_configbin_corr00.txt,elastic_fdpbin_corr00.txt,elastic_selbin_corr00.txt,elastic_truebin_corr00.txt
4,1000,200,50,10,0,1,binomial,elastic_configbin_corr00.txt,elastic_fdpbin_corr00.txt,elastic_selbin_corr00.txt,elastic_truebin_corr00.txt
5,1000,200,50,10,0,1,binomial,elastic_configbin_corr00.txt,elastic_fdpbin_corr00.txt,elastic_selbin_corr00.txt,elastic_truebin_corr00.txt
6,1000,200,50,10,0,1,binomial,elastic_configbin_corr00.txt,elastic_fdpbin_corr00.txt,elastic_selbin_corr00.txt,elastic_truebin_corr00.txt
7,1000,200,50,10,0,1,binomial,elastic_configbin_corr00.txt,elastic_fdpbin_corr00.txt,elastic_selbin_corr00.txt,elastic_truebin_corr00.txt
8,1000,200,50,10,0,1,binomial,elastic_configbin_corr00.txt,elastic_fdpbin_corr00.txt,elastic_selbin_corr00.txt,elastic_truebin_corr00.txt
9,1000,200,50,10,0,1,binomial,elastic_configbin_corr00.txt,elastic_fdpbin_corr00.txt,elastic_selbin_corr00.txt,elastic_truebin_corr00.txt
10,1000,200,50,10,0,1,binomial,elastic_configbin_corr00.txt,elastic_fdpbin_corr00.txt,elastic_selbin_corr00.txt,elastic_truebin_corr00.txt
11,1000,200,50,10,0,1,binomial,elastic_configbin_corr00.txt,elastic_fdpbin_corr00.txt,elastic_selbin_corr00.txt,elastic_truebin_corr00.txt
12,1000,200,50,10,0,1,binomial,elastic_configbin_corr00.txt,elastic_fdpbin_corr00.txt,elastic_selbin_corr00.txt,elastic_truebin_corr00.txt
13,1000,200,50,10,0,1,binomial,elastic_configbin_corr00.txt,elastic_fdpbin_corr00.txt,elastic_selbin_corr00.txt,elastic_truebin_corr00.txt
14,1000,200,50,10,0,1,binomial,elastic_configbin_corr00.txt,elastic_fdpbin_corr00.txt,elastic_selbin_corr00.txt,elastic_truebin_corr00.txt
15,1000,200,50,10,0,1,binomial,elastic_configbin_corr00.txt,elastic_fdpbin_corr00.txt,elastic_selbin_corr00.txt,elastic_truebin_corr00.txt
16,1000,200,50,10,0,1,binomial,elastic_configbin_corr00.txt,elastic_fdpbin_corr00.txt,elastic_selbin_corr00.txt,elastic_truebin_corr00.txt
17,1000,200,50,10,0,1,binomial,elastic_configbin_corr00.txt,elastic_fdpbin_corr00.txt,elastic_selbin_corr00.txt,elastic_truebin_corr00.txt
18,1000,200,50,10,0,1,binomial,elastic_configbin_corr00.txt,elastic_fdpbin_corr00.txt,elastic_selbin_corr00.txt,elastic_truebin_corr00.txt
19,1000,200,50,10,0,1,binomial,elastic_configbin_corr00.txt,elastic_fdpbin_corr00.txt,elastic_selbin_corr00.txt,elastic_truebin_corr00.txt
20,1000,200,50,10,0,1,binomial,elastic_configbin_corr00.txt,elastic_fdpbin_corr00.txt,elastic_selbin_corr00.txt,elastic_truebin_corr00.txt
21,1000,200,50,10,0,1,binomial,elastic_configbin_corr00.txt,elastic_fdpbin_corr00.txt,elastic_selbin_corr00.txt,elastic_truebin_corr00.txt
22,1000,200,50,10,0,1,binomial,elastic_configbin_corr00.txt,elastic_fdpbin_corr00.txt,elastic_selbin_corr00.txt,elastic_truebin_corr00.txt
23,1000,200,50,10,0,1,binomial,elastic_configbin_corr00.txt,elastic_fdpbin_corr00.txt,elastic_selbin_corr00.txt,elastic_truebin_corr00.txt
24,1000,200,50,10,0,1,binomial,elastic_configbin_corr00.txt,elastic_fdpbin_corr00.txt,elastic_selbin_corr00.txt,elastic_truebin_corr00.txt
25,1000,200,50,10,0,1,binomial,elastic_configbin_corr00.txt,elastic_fdpbin_corr00.txt,elastic_selbin_corr00.txt,elastic_truebin_corr00.txt
26,1000,200,50,10,0,1,binomial,elastic_configbin_corr00.txt,elastic_fdpbin_corr00.txt,elastic_selbin_corr00.txt,elastic_truebin_corr00.txt
27,1000,200,50,10,0,1,binomial,elastic_configbin_corr00.txt,elastic_fdpbin_corr00.txt,elastic_selbin_corr00.txt,elastic_truebin_corr00.txt
28,1000,200,50,10,0,1,binomial,elastic_configbin_corr00.txt,elastic_fdpbin_corr00.txt,elastic_selbin_corr00.txt,elastic_truebin_corr00.txt
29,1000,200,50,10,0,1,binomial,elastic_configbin_corr00.txt,elastic_fdpbin_corr00.txt,elastic_selbin_corr00.txt,elastic_truebin_corr00.txt
30,1000,200,50,10,0,1,binomial,elastic_configbin_corr00.txt,elastic_fdpbin_corr00.txt,elastic_selbin_corr00.txt,elastic_truebin_corr00.txt
